title,projectname,builder,price,per_sqft,area,status,place
3  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,11000000,"6,200 / sq ft",1785,Ready to move,Manikonda
3  BHK  Apartment,Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,11700000,"6,300 / sq ft",1870,Under Construction,Nizampet
3  BHK  Apartment,Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,17900000,"6,400 / sq ft",2810,Under Construction,Manikonda
3  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,10100000,"6,200 / sq ft",1636,Ready to move,Manikonda
Residential Plot,Haripriya Budera Bliss,Haripriya Developers,3229999,"1,777 / sq ft",1818,New,Sadashivpet
1  BHK  Apartment,Om Sai Enclave,seller,2500000,"4,385 / sq ft",570,Ready to move,Boduppal
3  BHK  Apartment,Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,12100000,"6,400 / sq ft",1896,Under Construction,Manikonda
3  BHK  Apartment,Vasavi Metropolis,Vasavi Group,10200000,"5,700 / sq ft",1790,Under Construction,Uppal Kalan
3  BHK  Apartment,IRA Miracle,Ira Reality,9829000,"5,299 / sq ft",1855,Under Construction,Kollur
3  BHK  Apartment,Anuhar Towers,Anuhar Homes Pvt Ltd,11800000,"6,350 / sq ft",1874,Under Construction,Manikonda
3  BHK  Apartment,Signature Altius,Signature Avenues,9098000,"4,999 / sq ft",1820,Under Construction,Kollur
2  BHK  Apartment,Vajra The Royal Park,Vajra Builders And Developers,5355000,"4,200 / sq ft",1275,Under Construction,Bowrampet
3  BHK  Apartment,Om Sree Heights,Om Sree Builders And Developers,16900000,"6,100 / sq ft",2780,Under Construction,Yapral
2  BHK  Apartment,,seller,5800000,"4,715 / sq ft",1230,Ready to move,Pragathi Nagar Kukatpally
Residential Plot,Haripriya Dukes County Phase II,Haripriya Developers,9999000,"4,444 / sq ft",2250,New,Sheriguda
3  BHK  Apartment,Vasavi Nandanam,Vasavi Group,10800000,"5,500 / sq ft",1965,Under Construction,Jeedimetla
3  BHK  Apartment,Riddhi Pramukh Elegance,Riddhi Group,9309000,"5,800 / sq ft",1605,Under Construction,Jeedimetla
3  BHK  Villa,RNG Supra Avenue,Maaruthi Group,14900000,"6,329 / sq ft",2370,Under Construction,Bachupally
3  BHK  Apartment,Shree GNR Vasavi Nirvana,Shree Vasavi Developers,14600000,"6,899 / sq ft",2120,Under Construction,Attapur
2  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,8109000,"6,200 / sq ft",1308,Ready to move,Manikonda
3  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,11000000,"6,200 / sq ft",1785,Ready to move,Manikonda
3  BHK  Apartment,Bhavya BHAVYAS THE EUGEN,Bhavya Constructions Pvt Ltd,37500000,"12,000 / sq ft",3126,Under Construction,Madhapur
3  BHK  Apartment,Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,16100000,"6,400 / sq ft",2521,Under Construction,Manikonda
3  BHK  Apartment,My Home Sayuk,My Home Constructions Pvt Ltd,15000000,"7,788 / sq ft",1926,Under Construction,Tellapur
5  BHK  Independent House,,seller,9500000,"4,750 / sq ft",2000,Ready to move,Almasguda
2  BHK  Apartment,Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,8588000,"6,400 / sq ft",1342,Under Construction,Manikonda
3  BHK  Apartment,Vasavi Metropolis,Vasavi Group,9291000,"5,700 / sq ft",1630,Under Construction,Uppal Kalan
3  BHK  Apartment,IRA Miracle,Ira Reality,8769000,"5,299 / sq ft",1655,Under Construction,Kollur
3  BHK  Apartment,Anuhar Towers,Anuhar Homes Pvt Ltd,10600000,"6,350 / sq ft",1676,Under Construction,Manikonda
2  BHK  Apartment,Signature Altius,Signature Avenues,7098000,"4,999 / sq ft",1420,Under Construction,Kollur
3  BHK  Apartment,Sterling Grandeur,Sterling Homes PvtLtd,9218000,"6,250 / sq ft",1475,Under Construction,Bachupally
3  BHK  Apartment,Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,9889000,"5,800 / sq ft",1705,Under Construction,Saidabad
4  BHK  Villa,,seller,49000000,"11,597 / sq ft",4225,Ready to move,Tellapur
2  BHK  Apartment,,seller,4000000,"3,597 / sq ft",1112,Ready to move,Nizampet
Residential Plot,Haripriya Ohana,Haripriya Developers,17500000,"7,222 / sq ft",2430,New,Kompally
3  BHK  Apartment,Vasavi Nandanam,Vasavi Group,10400000,"5,500 / sq ft",1900,Under Construction,Jeedimetla
3  BHK  Apartment,Riddhi Pramukh Elegance,Riddhi Group,12000000,"5,800 / sq ft",2080,Under Construction,Jeedimetla
3  BHK  Apartment,Cybercity Westbrook,Cyber City Oriana,11000000,"7,501 / sq ft",1471,Under Construction,Kokapet
3  BHK  Apartment,Shree GNR Vasavi Nirvana,Shree Vasavi Developers,19500000,"6,899 / sq ft",2840,Under Construction,Attapur
2  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,7762000,"6,200 / sq ft",1252,Ready to move,Manikonda
2  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,7818000,"6,200 / sq ft",1261,Ready to move,Manikonda
2  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,7818000,"6,200 / sq ft",1261,Ready to move,Manikonda
3  BHK  Apartment,Vaishnavi Houdini,Vaishnavi Infracon India Pvt Ltd,10100000,"5,600 / sq ft",1804,Under Construction,Bandlaguda Jagir
3  BHK  Apartment,Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,10900000,"6,400 / sq ft",1704,Under Construction,Manikonda
3  BHK  Apartment,Hallmark Skyrena,Hallmark Builders,16000000,"7,099 / sq ft",2255,Under Construction,Narsingi
2  BHK  Independent House,,seller,12500000,"5,681 / sq ft",2200,Ready to move,Bolarum
3  BHK  Apartment,Aaditri Aaditris Empire,seller,8800000,"5,222 / sq ft",1685,Ready to move,Kollur
3  BHK  Apartment,Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,11700000,"6,400 / sq ft",1830,Under Construction,Manikonda
2  BHK  Apartment,Primark De Stature,Primark Developers,5497000,"4,699 / sq ft",1170,Under Construction,Kompally
Residential Plot,IRA Aerocity,Ira Reality,22799999,"5,000 / sq ft",4567,New,Shamshabad
Residential Plot,IRA Aerocity,Ira Reality,11399999,"5,000 / sq ft",2286,New,Shamshabad
2  BHK  Apartment,Anuhar Towers,Anuhar Homes Pvt Ltd,9848000,"6,350 / sq ft",1551,Under Construction,Manikonda
3  BHK  Apartment,Anuhar Towers,Anuhar Homes Pvt Ltd,12200000,"6,350 / sq ft",1927,Under Construction,Manikonda
3  BHK  Apartment,Signature Altius,Signature Avenues,10900000,"4,999 / sq ft",2200,Under Construction,Kollur
2  BHK  Apartment,Signature Altius,Signature Avenues,6998000,"4,999 / sq ft",1400,Under Construction,Kollur
3  BHK  Apartment,Riddhi Pramukh Elegance,Riddhi Group,11399999,"5,800 / sq ft",1975,Under Construction,Jeedimetla
3  BHK  Apartment,Risinia Skyon,Risinia Builders,9367000,"5,599 / sq ft",1673,Under Construction,Bachupally
3  BHK  Apartment,Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,9349000,"5,800 / sq ft",1612,Under Construction,Saidabad
3  BHK  Apartment,GB Rising Apartments,seller,8400000,"5,250 / sq ft",1600,Ready to move,Gajulramaram Kukatpally
Residential Plot,Haripriya Dukes County Phase II,Haripriya Developers,11500000,"4,444 / sq ft",2601,New,Sheriguda
3  BHK  Apartment,Vasavi Nandanam,Vasavi Group,9212000,"5,500 / sq ft",1675,Under Construction,Jeedimetla
3  BHK  Apartment,Vasavi Nandanam,Vasavi Group,11000000,"5,500 / sq ft",2010,Under Construction,Jeedimetla
3  BHK  Apartment,Riddhi Pramukh Elegance,Riddhi Group,14400000,"5,800 / sq ft",2495,Under Construction,Jeedimetla
3  BHK  Apartment,Cybercity Westbrook,Cyber City Oriana,15700000,"7,499 / sq ft",2100,Under Construction,Kokapet
3  BHK  Apartment,Shree GNR Vasavi Nirvana,Shree Vasavi Developers,18600000,"6,899 / sq ft",2710,Under Construction,Attapur
2  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,7762000,"6,200 / sq ft",1252,Ready to move,Manikonda
3  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,10600000,"6,200 / sq ft",1718,Ready to move,Manikonda
3  BHK  Apartment,Mahaveer Crystal Garden,Mahaveer Group,17600000,"7,502 / sq ft",2350,Under Construction,Attapur
3  BHK  Apartment,Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,12900000,"6,400 / sq ft",2019,Under Construction,Manikonda
3  BHK  Apartment,Shree GNR Vasavi Nirvana,Shree Vasavi Developers,12000000,"6,899 / sq ft",1745,Under Construction,Attapur
2  BHK  Apartment,MKT Urban Tree,seller,3359000,"3,998 / sq ft",840,Under Construction,Isnapur
3  BHK  Apartment,Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,11900000,"6,400 / sq ft",1872,Under Construction,Manikonda
2  BHK  Apartment,Srija Twin Towers,Srija Infra Developers Hyderabad,5049000,"4,800 / sq ft",1052,Under Construction,Dammaiguda
Residential Plot,IRA Aerocity,Ira Reality,56900000,"5,000 / sq ft",11392,New,Shamshabad
3  BHK  Apartment,Anuhar Towers,Anuhar Homes Pvt Ltd,12200000,"6,350 / sq ft",1926,Under Construction,Manikonda
2  BHK  Apartment,Signature Altius,Signature Avenues,8173000,"4,999 / sq ft",1635,Under Construction,Kollur
3  BHK  Apartment,Theme Imperial,Theme Ambience Infrastructures,14700000,"6,800 / sq ft",2170,Under Construction,Attapur
2  BHK  Apartment,Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,7453000,"5,800 / sq ft",1285,Under Construction,Saidabad
2  BHK  Apartment,,seller,6954000,"5,700 / sq ft",1220,Under Construction,Hafeezpet
3  BHK  Apartment,Vajra The Royal Park,Vajra Builders And Developers,7034999,"4,200 / sq ft",1675,Under Construction,Bowrampet
3  BHK  Apartment,Vasavi Nandanam,Vasavi Group,9790000,"5,500 / sq ft",1780,Under Construction,Jeedimetla
